language,tokenizer,unique_tokens,total_tokens,zipf_exponent_s,r_squared,intercept,zipf_constant_C,zipf_exponent_s_head,r_squared_head,intercept_head,head_max_rank,model_id,source_file,std_err_slope,n_points_fitted
English,LLaMA,63357,15257211,1.776767700862966,0.84242353625302,9.135442753901318,1365975009.174783,0.8898614893932411,0.9976106144557634,5.870899733754754,5000.0,NousResearch/Meta-Llama-3.1-8B,en_llama_freq.json,0.003052956611346115,63357
English,Qwen,61260,15885254,1.774773437145843,0.8396871919236248,9.109616315062855,1287111928.0479066,0.8968448329224061,0.9948229427897854,5.882455500627078,5000.0,Qwen/Qwen2.5-7B,en_qwen_freq.json,0.0031331909222915653,61260
English,Kimi,60197,15303152,1.7604576314163347,0.8377978816671805,9.06803100736876,1169582892.8716402,0.8854079806486066,0.9975904932737278,5.8618727303342375,5000.0,moonshotai/Kimi-K2-Instruct,en_kimi_freq.json,0.003157213854821859,60197
Hindi,LLaMA,22233,10574535,1.826497837397438,0.9471008624917567,7.680974573822813,47970536.30147961,2.3042897734926524,0.9410616830110425,9.20041840681793,5000.0,NousResearch/Meta-Llama-3.1-8B,hi_llama_freq.json,0.0028951151535640653,22233
Hindi,Qwen,20195,18647984,1.2865159653591978,0.9231363278132861,5.368568907499079,233651.67971358332,1.603422800075304,0.8881879997754754,6.34993579393792,5000.0,Qwen/Qwen2.5-7B,hi_qwen_freq.json,0.0026124163975440613,20195
Hindi,Kimi,21800,11228758,1.5474106875265627,0.9314213113453588,6.505387148224343,3201748.0096906824,2.0433099121386666,0.9251954993057417,8.04880862742138,5000.0,moonshotai/Kimi-K2-Instruct,hi_kimi_freq.json,0.002843929137742815,21800
Arabic,LLaMA,30588,20296548,2.2004480007760487,0.9546466382511296,9.616598958824964,4136175509.6718984,2.1290526751985865,0.8395540814178086,9.514998659247091,5000.0,NousResearch/Meta-Llama-3.1-8B,ar_llama_freq.json,0.002742415066775051,30588
Arabic,Qwen,30013,20761442,2.2325890555043353,0.9544716347904173,9.738306917590835,5474026778.219644,1.9982371575937865,0.8510486184421308,9.146859910965457,5000.0,Qwen/Qwen2.5-7B,ar_qwen_freq.json,0.0028146738154747205,30013
Arabic,Kimi,27791,25078315,1.8264335246288905,0.9547121904477365,7.904340215609032,80230632.43029894,2.3497174704683865,0.934820080751739,9.56786452200002,5000.0,moonshotai/Kimi-K2-Instruct,ar_kimi_freq.json,0.00238628238029672,27791
